donor_id,first_gift_amount,donation_channel,campaign_source,city,donor_age_band,first_gift_month,is_festival_season,communication_optin,time_on_first_visit_secs,donated_again
D1000,745,BankTransfer,SocialMedia,Ghaziabad,18-25,11,1,1,104,0
D1001,291,Cash,SocialMedia,Delhi,26-35,11,1,1,303,0
D1002,1018,Cash,SocialMedia,Delhi,18-25,12,0,0,205,1
D1003,1163,BankTransfer,Website,Delhi,26-35,3,0,1,94,1
D1004,154,BankTransfer,Event,Kanpur,51+,11,1,0,10,1
D1005,242,UPI,Website,Other,26-35,8,0,0,188,0
D1006,658,Card,SocialMedia,Delhi,51+,2,0,0,142,0
D1007,482,Card,SocialMedia,Kanpur,18-25,7,0,1,170,1
D1008,595,UPI,Referral,Ghaziabad,26-35,6,0,0,123,1
D1009,331,UPI,SocialMedia,Ghaziabad,51+,8,0,1,59,0
D1010,1114,UPI,SocialMedia,Ghaziabad,36-50,2,0,1,110,0
D1011,1037,Card,Event,Kanpur,18-25,7,0,0,189,0
D1012,630,Cash,SocialMedia,Kanpur,36-50,9,1,1,115,0
D1013,1325,Cash,SocialMedia,Kanpur,36-50,9,1,1,114,1
D1014,835,UPI,Website,Kanpur,36-50,10,1,0,33,0
D1015,330,UPI,Event,Kanpur,26-35,8,0,1,146,1
D1016,779,Card,SocialMedia,Other,18-25,9,1,1,62,0
D1017,308,Card,SocialMedia,Lucknow,18-25,2,0,1,204,1
D1018,1113,BankTransfer,Website,Ghaziabad,26-35,10,1,1,88,1
D1019,581,BankTransfer,SocialMedia,Delhi,26-35,5,0,1,119,0
D1020,529,BankTransfer,SocialMedia,Lucknow,18-25,7,0,1,291,0
D1021,374,BankTransfer,Website,Kanpur,18-25,7,0,0,118,0
D1022,1416,BankTransfer,Website,Kanpur,26-35,12,0,0,109,0
D1023,540,Card,Referral,Kanpur,26-35,4,0,1,180,0
D1024,446,UPI,SocialMedia,Lucknow,26-35,5,0,0,15,1
D1025,470,UPI,SocialMedia,Ghaziabad,26-35,10,1,0,227,1
D1026,874,UPI,Event,Ghaziabad,18-25,8,0,0,209,1
D1027,777,UPI,Website,Lucknow,36-50,4,0,1,176,1
